rank,trial_id,aggregated_score,mean_oos_pf,std_oos_pf,worst_oos_pf,mean_is_pf,is_oos_decay,n_splits,survives,p_adx_filter_enabled,p_adx_period,p_adx_threshold,p_adx_use_di_confluence,p_kijun_period,p_risk_per_trade,p_score_threshold,p_senkou_b_period,p_session_filter_enabled,p_shift,p_tenkan_period,p_tp_rr_ratio
91,339,0.34609250736934727,13.055213697495242,26.445142423063018,0,2.976116749001235,-10.079096948494007,6,0,1,14,35.23534230078157,0,26,0.011506772352642636,58,49,0,27,7,3.229022852128046
92,419,0.345576337739427,167.9267612600504,372.1114661705019,0.4173588017795771,1.8910609832089091,-166.03570027684148,6,0,1,14,38.820129569730376,1,28,0.011939745239757313,42,52,0,22,9,2.4739216230634153
93,494,0.27515363500445167,18.564022562341467,36.742400921381375,0.45955190079806907,2.992521166805029,-15.571501395536439,6,0,1,14,30.669782425390753,1,29,0.02623712674954072,40,68,0,25,11,2.735850944080219
94,571,0.22389944480848012,2.139394501823762,1.9186291569616916,0,1.7783579067408288,-0.36103659508293307,6,0,1,14,34.9572285327672,1,40,0.016845242784747923,47,67,0,20,12,3.3197069460091546
95,739,0.2164505677971278,1.455007387611995,0.9983598260634079,0.44048122782717797,1.329339382191365,-0.12566800542063006,6,0,1,14,33.525956680803645,0,22,0.01737102888281191,53,45,0,20,12,1.5289231148810865
96,845,0.2066428026163587,10.79312352577872,21.396278409582276,0,1.6856530617801573,-9.107470463998563,6,0,1,14,31.2765507695688,1,23,0.010721814126419326,47,51,0,25,9,3.3999268692014972
97,537,0.19398721440672162,2.4655407313943662,1.9695620763076895,0.4445787345848124,1.8245224860289238,-0.6410182453654425,6,0,1,14,36.55569017011229,0,35,0.010145930174350455,46,47,0,29,11,3.116446094883779
98,158,0.08979234704178785,2.4208347254398497,2.3521681730199964,0.5530931512074958,1.260914212636363,-1.1599205128034866,6,0,1,14,25.43423156367428,0,28,0.018825630426246538,43,70,0,22,10,2.887103201191217
99,875,0.07097564945394685,3.256770420214002,3.4409828216805507,0.6410177192030464,2.049729597208708,-1.2070408230052942,6,0,1,14,25.9544008036354,1,25,0.010866374795326096,58,59,0,23,9,1.5383431277743995
100,664,0.03365020554620579,2.164106203476582,2.2019678039108137,0.3193440720727115,1.5225557450273806,-0.6415504584492016,6,0,1,14,38.33722477079624,0,27,0.01911985841942811,55,61,0,28,9,2.224773658452869
101,109,0.024824695793374207,2.8601359239754545,2.2794711691710443,0.48674570951918306,2.149124032386814,-0.7110118915886403,6,0,1,14,25.992130952933927,0,31,0.016610889777013287,60,59,0,25,9,2.509911296561479
102,871,-0.03468208653255411,12.619676908843019,23.857919451050726,0.30868525400291136,2.3649696255192634,-10.254707283323755,6,0,1,14,33.66811881146958,0,37,0.011177198897935217,40,51,0,28,13,3.5419421044201336
103,727,-0.1178601766710683,13.667953046640177,25.482511953591114,0,2.372039696282903,-11.295913350357274,6,0,1,14,34.11952478982716,0,23,0.013421769916553906,48,46,0,22,9,2.2161655212149203
104,219,-0.35565703244150115,3.3616578400760204,3.2634192631868664,0.3493282333174068,2.230929360044397,-1.1307284800316233,6,0,1,14,38.63239705388936,0,22,0.016647448516764824,50,58,0,25,11,1.653581204014681
105,876,-0.516613390188662,3.2845251157948803,3.688674108427801,0,2.1605694712907657,-1.1239556445041146,6,0,1,14,32.91386040683539,0,21,0.01347354729520971,56,61,0,23,9,3.496639169547369
106,369,-0.7027565449235396,168.22131163830122,371.98334251790726,0,2.8377834820171177,-165.3835281562841,6,0,1,14,38.55800738367874,1,31,0.010827309118986212,41,40,0,26,7,3.154120556650243
107,611,-1.165967476473549,168.5676539199106,371.8320902247989,0,3.218840692599805,-165.3488132273108,6,0,1,14,38.244358691905155,0,22,0.011348184272629878,43,49,0,29,9,2.6488280557128547
108,515,-1.7388182375916177,25.691069726345066,50.91407044116215,0.5754456492940407,4.292451078000463,-21.398618648344602,6,0,1,14,28.116151876827914,0,23,0.010149775261183974,55,63,0,24,13,2.5727380557737956
109,783,-42.046199982847185,41.53559988733776,56.33502414007915,0.23049407166553992,3.289787183981763,-38.245812703355995,6,0,1,14,44.30613197925575,1,22,0.01426790248930506,55,65,0,27,12,1.62145061356655
